会社名,会場,ブース番号,説明（日本語）,備考,Best of Innovation,山中行きたい,長坂行きたい,PDFページ,PDF_X,PDF_Y
Sensereo Limited,LVCC West,61667,センセレオは、空気感知とAI駆動のIoT技術を融合させ、空間知能と人工知能を推進するスタートアップです。当社のポートフォリオは、Matter-Threadセンサー、認定火災安全警報などを網羅しています。,,,,,11.0,181.0,309.14
Shannon & Turing Technology Limited,LVCC West,63200,Shannon & Turing(ブランド名:Asmote)は、ワイヤレス技術を中心とした技術革新企業であり、業界クライアントに統合型製品ソリューションを提供することに専念しています...,,,,,11.0,302.69,186.7
Shenzhen Kcool innovation information technology C,LVCC West,62919,GLYDE:新鮮な家庭用ヘアカット、スキル不要 GLYDEを紹介:世界初のスマートヘアクリッパー。自動調整ブレードとアプリ誘導の精度を備え、高価で時間のかかる...,,,,,11.0,385.42,219.83
Shenzhen Lufei Intelligent Innovation Technology,LVCC West,62919,Kamingoは、HuaweiとBYDの経験を持つチームによって約3年かけて築き上げられたモビリティテックの革新者です。主力製品は、どんな自転車も電化できる10秒間スナップオンの電動自転車コンバーターです...,,,,,11.0,385.42,219.83
"Six and a Half Weeks Health Industry Co., Ltd.",LVCC West,60467,ZzzRingは世界初のペロブスカイト太陽光スマートリングで、効率的な太陽光充電とインテリジェントな健康モニタリングを融合させています。コア技術:柔軟なペロブスカイト太陽電池(屋内外充電、頻度が低い...,,,,,11.0,181.0,388.71
Skwheel,LVCC West,60601,Skwheelが初のオールテレーン電動スキーを発表しました。これはグライド、スポーツ、マイクロモビリティを融合させた特許取得済みのフランスの革新です。世界中でテストされたこの画期的な動きは、新しいスポーツの誕生をもたらし、...,,,,,11.0,305.05,371.03
Smart Home Protection LLC - AKA the Timeli brand,LVCC West,"62252, Suite 29-129",Timeliは、懐中電灯、ビデオ、アラーム、GPS、即時双方向通信と緊急出動を一つの直感的なデバイスに統合した、初の特許取得済みポータブルパーソナルセーフティシステムです。時間。。。,,,,,11.0,211.94,282.61
Smartlet,LVCC West,60111,Smartletは、機械式時計(ロレックス、オメガ、ゼニスなど)とスマートウォッチやフィットネストラッカー(Apple、Fitbit、Whoop、Samsungなど)を片手首に装着できるモジュラーストラップを作っています。フランス語-。。。,コンシューマー向けファッションアイテム寄り。業務でのスマートデバイス活用とは方向性が違う,,,,11.0,368.6,415.23
SoC UP301,LVCC West,62201,Upbeat Techは超低消費電力のAI SoC MCUおよびMEMSセンシングソリューションを開発しており、UP201/UP301 AI SoCやUPM01高帯域幅MEMS音声振動センサーなどが含まれます。コンパクトで低消費電力の電子機器をお届けします...,,,,,11.0,313.4,238.43
Social Links NL BV,LVCC West,62100,Social Linksは、AI搭載のデジタルリスク保護を提供するグローバルなテック企業です。私たちのAI DEFENDERプラットフォームは、Secure(安全)、Detect(検出)、Investigate(調査)という3つの強力な層を統合しており、人々やブランド、...,,,,,11.0,346.94,271.58
Someple Corp.,LVCC West,62845,私たちは長年の業界経験を持つメディア専門家とプロの開発者チームです。「メディア」の強力な影響力とAIの未来の可能性を信じ、私たちは前進しています...,,,,,11.0,213.61,215.42
Sorv,LVCC West,62833,,,,,,11.0,241.29,206.6
"Soul Mobility, Inc",LVCC West,61263,"Soul Mobility, Inc.では、世界中の車椅子利用者のためのモビリティソリューションを再定義し、学校、職場、遊びにおいてより包括的な機会を提供しています!私たちの使命は車椅子の力を与えることです...",,,,,11.0,189.84,335.66
StarBot Inc,LVCC West,60648,"StarBotはサービス業界向けのAI駆動ヒューマノイドロボットを製造しています。レストラン、ホテル、物流向けに設計された当社の車輪付きヒューマノイドは、安全で省エネかつコスト効率の高い自動化を実現します,...",,,,,11.0,220.78,384.29
Stellarvision Inc.,LVCC West,62833,Stellarvision Inc.はSAR(合成開口レーダー)衛星データ分析を専門としています。SAR-to-EO(電気光学)画像着色やSAR-AIS暗船などの独自技術により...,,,,,11.0,241.29,206.6
Subtle Computing,Venetian Expo,60852,Subtleは、私たちが実際にどのように生活し、仕事をするか――動きの中で、公共の場の中で、静かな中、騒音の中で――に特化した世界初の音声コンピューティングデバイスです。他のボイスツールがうまくいかないところで。道具やノートと話しかけて...,騒音環境対応の音声デバイス。工場は騒音が多いので、そういった場面で使えるマイク・スピーカーがないか見ておきたい,,,★★,11.0,211.94,371.02
SunCubes SRL,LVCC West,61000,SunCubes LIGHTは、ケーブルや人間の介入なしに、ドローンやセンサーを遠隔で駆動するワイヤレスレーザーシステムです。コンパクトで精密かつ安全であり、重要なインフラでの連続運転を可能にします...,,,,,11.0,305.0,357.76
THA srl,LVCC West,61465,THA Srlは、スマートセキュリティとホームオートメーションに注力するイタリアのテクノロジー企業です。私たちはGhostLightを作りました。これは、迅速な設置と高い信頼性を目的とした、見えない屋外スマートセキュリティソリューションです。,,,,,11.0,185.42,322.4
THE ENGINEER,LVCC West,63416,工場自動化ソリューションとAI駆動設計技術を専門としています。当社のコア製品であるX concep AIは、自然言語をコンセプトイメージ、3Dモデル、シミュレーションに変換し、fu...,,,,,11.0,273.58,166.82
TINENTAL SRL,LVCC West,61001,Tinentalは同じ生産量で産業用ポンプのエネルギー消費を最大60%削減します。彼らのAIはセンサーや生産の変更なしにリアルタイムで性能を最適化します。資本支出ゼロの場合...,,,,,11.0,308.95,317.11
TMEVnet,LVCC West,62901,メガワット充電のための革新的なケーブル冷却ソリューションを提供しています。当社独自の「液体蒸発相変換」技術により、-40°C未満の冷却ゾーンを実現し、より高出力の伝達を可能にします...,,,,,11.0,345.64,219.83
Taiwan Tech Arena,LVCC West,62201,台湾テックアリーナ(TTA)は起業家精神とイノベーションを推進し、台湾で活気ある国際的なスタートアップエコシステムの構築を目指しています。TTAはグローバルなテックベンチャーの基盤となることを目指しています。,,,,,11.0,313.4,238.43
TanE AIOT Corporation,LVCC West,62201,TanE Wirelessは2019年に設立され、台湾の新竹サイエンスパークに本社を置いています。私たちはNB-IoT、AI、5G技術を組み合わせた革新的なAIoTモビリティおよび接続ソリューションを専門としています...,,,,,11.0,313.4,238.43
TeroAI,LVCC West,60650,TeroAIは、一般向けに作られた世界唯一のAI搭載地理空間知能企業です。当社の特許技術は、小売業、実物など幅広い分野に強力な応用を提供します。,,,,,11.0,216.36,384.29
"Tethral, Inc.",LVCC West,61660,,,,,,11.0,194.26,317.98
The Netherlands,LVCC West,62100,CESラスベガスは世界で最も影響力のあるテックショーであり、「より良い明日のためのテック」に焦点を当てます。これはオランダの使命にこれ以上ないほど的確なキャッチフレーズです。グローバルc...,,,,,11.0,346.94,271.58
The Vydar Group BV,LVCC West,62100,Vydarは、防衛および産業の二重用途向けに設計されたコンパクトで特化したAIハードウェアとソフトウェアを開発しています。当初の焦点は、GPSが利用できない地域での自律型ドローンナビゲーションであり、高精度で...,,,,,11.0,346.94,271.58
"TheEN Co., Ltd",LVCC West,62833,TheENは電気分解と触媒を専門とする主要な技術スタートアップです。水電解電極などの先進ソリューションを通じて、グリーン水素の生産と安全性に注力しています。,,,,,11.0,241.29,206.6
TheyeQ,LVCC West,60711,TheEye Systemは、柔軟なAI駆動システムにより生産ライン内の欠陥を特定するよう設計されています。あらゆる製品の欠陥を<0.4 msec以内に可視化、検証、検証するよう訓練されています...,,,,,11.0,369.65,344.52
Throne,LVCC West,61255,Throneはトイレのハンズフリー健康モニターで、トイレの訪問を腸の健康や水分補給に関する洞察に変えます。健康パターンを自動でハンズフリーで追跡するから、君は...,,,,,11.0,207.52,335.66
Tokoshie Inc.,LVCC West,62801,常枝はAI駆動のCADプラットフォームと自律型コンベヤー3Dプリンターを組み合わせ、設計から製造までの高速な自動化を実現します。ユーザーは自然言語を使ってモデルを生成し、洗練させることができます...,,,,,11.0,302.4,213.22
"Tombot, Inc.",LVCC West,61033,トンボットはロボット動物およびデジタルヘルス技術を専門としています。彼らの最初の製品は子犬で、健康上の困難に直面している人々の生活を変えるために、手頃な価格のFDAを創出することを目的としました-...,,,,,11.0,256.15,348.92
Toonsquare,LVCC West,62738,Toonsquareは次世代のウェブトゥーン制作ソフトウェアを開発しているAIベースのテクノロジーおよびコンテンツスタートアップです。サムスン電子のC-Labから発祥し、2019年にスピンオフされたこのプラットフォームは、...,,,,,11.0,429.99,237.53
TopoLogic Inc.,LVCC West,62801,TopoLogicは、2021年7月に設立されたディープテックスタートアップで、「トポロジカル素材」を備えた革新的な技術を提供しています。私たちの使命は、トポログを用いて業界の難しい問題を解決することです...,,,,,11.0,302.4,213.22
Trackt00,LVCC West,60711,Trackt00はRFIDとIoTを用いて、あらゆる空間を自己管理可能なインベントリに変えます。製品は手作業なしでリアルタイムで自動追跡されます。スキャンもカウントもなし、ただ瞬時に確実な視界を確保します。O...,,,,,11.0,369.65,344.52
Tracup Pte. Ltd.,LVCC West,61662,Hyper AIは音声録音を優先したAIメガネ(音声、キャプチャ、スポーツ)を構築し、将来の視覚応用向けの新機も開発予定です。私たちのエコシステムは、プロフェッショナルや頻繁に旅行者が記憶を戻すのを助けています。,,,,,11.0,189.84,317.98
Tribe App Pte Ltd,LVCC West,60213,TribeAppはシンガポールを拠点とするテクノロジースタートアップで、特に高齢者ケアのために革新的で変革的なソリューションを導入し、健康とウェルネス分野を革新することに注力しています。,,,,,11.0,269.72,401.97
Tutorus Labs Inc.,LVCC West,62845,当社はEdTech分野を専門とし、世界クラスの生成AIと自然言語処理技術を活用しています。私たちは世界初のA...,,,,,11.0,213.61,215.42
Türkiye Turcorn Pavilion,LVCC West,63432,CES2026でトルコのスタートアップシーンを探る:ダイナミックなテック環境と無限の投資機会に飛び込みましょう。産業技術省の支援を受けたトルコのトップスタートアップ35社をご紹介します...,,,,,11.0,240.13,184.48
UEL,LVCC West,62817,UELは小規模な月面移動計画を開発し、段階的なロードマップに従っています。2025年のCOSMICと2026年のUEL-Y-Sysは、韓国のKSLV-IIを通じてキューブサットを展開し、宇宙グレードの部品検証を行います。,,,,,11.0,272.28,206.6
UMED Inc.,LVCC West,62501,UMEDは医療機器、臨床データ、AIを結びつけ、膀胱ケアを病院の枠を超えて拡大し、「誰にでも病院」というビジョンを、アクセスしやすくデータ駆動型のデジタル泌尿器科を通じて推進します。ウロリンスは...,,,,,11.0,347.95,238.42
"UPSIGHT Co., Ltd.",LVCC West,62949,UPSIGHTは、スマート建設管理のためのAI搭載ソリューションを開発しているCon-Tech企業です。業界は依然としてアナログの報告と通信に依存しており、非効率と遅延を引き起こしています。アップサイト...,,,,,11.0,429.5,219.83
Undugu LLC,LVCC West,60640,Unduguは、世界初の電子そろばんハードウェアを中心にAI教育プラットフォームを構築する教育スタートアップです。私たちは実際のビーズの動きと適応型ソフトウェア、トラッキング、分析、そしてゲーム化を融合させています...,,,,,11.0,238.47,384.29
Uniqconn Inc.,LVCC West,62501,ユニクコンのUC60は、物理ケーブルに代わるギガビットレベルのデータ転送を提供するコンパクトな60GHz無線チップです。USB、イーサネット、MIPIなどのプロトコルをワイヤレスで運ぶことができます...,,,,,11.0,347.95,238.42
"VELIONIS CO., LTD",LVCC West,63600,VLISは、アプリ内ナビゲーション、リアルタイムの眠気検出、行動安全データを組み合わせたAI駆動の安全運転プラットフォームを構築します。ドライバーアプリとフリートダッシュボードは、疲労に関連するR...,,,,,11.0,300.98,170.56
VMS ELEKTRONIK,LVCC West,63432,VMSは電子工学者であり同社の創業者であるムスタファ・ダヤヌクルによって設立されました。現在、VMSは顧客やスタッフと共に「技術の旅」を歩み続けており、d...,,,,,11.0,240.13,184.48
VYBE Audio LLC,LVCC West,60850,TDM(タイムズ・マネジメント)です。音楽体験の新たな時代を切り開いています。シンプルなひねりで、世界初のヘッドホンがスピーカーに変身し、個人的なリスニングとソーシャルリスニングの境界を曖昧にします。TDM(タイムズ・マネジメント)です。表す。。。,,,,,11.0,216.36,371.02
ViiRaa Inc,LVCC West,61450,ViiRaa Wellnessは行動変容アプリです。ボディインテリジェンスを活用した14-dブートキャンプは、継続的な血糖モニタリング、AIコーチング、栄養を組み合わせて、体重、エネルギー、感情をリセット・最適化します。W...,,,,,11.0,216.36,331.24
Visorix llc,LVCC West,60239,Visorix LLCは退役軍人が所有するVRスタートアップです。私たちの旗艦製品であるVirtaraは、180°のVRカメラとプラットフォームで、クリエイターが2Dと3Dコンテンツ制作のギャップを埋めるために、V...で動画を撮影する手助けをしています。,,,,,11.0,242.89,401.97
Vivibit Inc.,LVCC West,60834,VIVIBITは、グローバルなエッジコンピューティング(爆発的なデータ成長)向けの次世代エッジデータインフラに注力しています。フルスタック最適化と独自の技術を持ち、ストレージ、計算、送信の解決を兼ね備えています...,,,,,11.0,251.73,371.02
Vox AI,LVCC West,62100,NextGenおよび85+言語でクイックサービスレストランの注文受付プロセスを効率化・自動化し、効率と精度を高め、顧客体験を向上させる音声AIソリューションを導入...,,,,,11.0,346.94,271.58
Vulcan USA,LVCC West,62053,,,,,,11.0,211.94,290.57
WATERM,LVCC West,61105,私たちは建物や産業向けにリアルタイムの水インテリジェンスを提供します。IoTセンサー、AI駆動の漏水検知、WaterAIMプラットフォームを活用し、組織が1リットル分の監視、損失防止などを支援します。,,,,,11.0,353.4,348.92
"WEVEN Co., Ltd.",LVCC West,62817,WEVENは、Zaemit AIとZ.Studioという2つの大手でウェブ革命を牽引しています。インスタントAIウェブ構築と、完全なエージェンシーOS(ホスティング&CRM)を統合しています。古いやり方は死んだ。ボトルネックを排除し...,,,,,11.0,272.28,206.6
WITHFORCE Inc.,LVCC West,61710,WithForce Inc.はソフトウェアラブルロボティクスを専門としており、CES 2025で誇らしげに____を紹介します!わずか3.3kg(7.3ポンド)の重量で、重量ごとに16kgf(35.2lb)という印象的な補助力を発生させます...,,,,,11.0,366.66,317.98
Watervation,LVCC West,62949,ウォーターベーションは、従来のフィルターではなく水をフィルターとして使う空気浄化ソリューションを提供します。「水」は、最も過酷な気象条件下でも利用できる重要な要素です。p...,,,,,11.0,429.5,219.83
WheelMove,LVCC West,60801,WheelMoveは、移動が困難な人々がより自由かつ自律的に新しい活動を探求できるよう支援するフランスのスタートアップです。私たちのコンパクトで軽量なシステムは、どんな手動車椅子も...,,,,,11.0,305.0,362.18
Whoteach,LVCC West,61001,WhoTeachは、研修機関や人事マネージャーがAIを活用したオンラインコースを作成・提供できるよう支援するB2B2Cデジタル学習プラットフォームです。私たちはWhoSlidesというスライドジェネレーターをベースにした...,,,,,11.0,308.95,317.11
Widemount Dynamics Tech Limited,Venetian Expo,63200,Widemount Dynamicsは、緊急対応に高度な自律性をもたらすAI駆動のスマート消防ロボットを開発しています。,,★,,,11.0,302.69,186.7
Wink Suite,LVCC West,61000,顧客をエンゲージし維持し、営業チャネルには魅力的なブランドプラットフォームで報いましょう。ロイヤルティ、プロモーション、トレードインセンティブキャンペーンは数時間で開始し、数週間ではなく。速く、ブランド化され、AIが駆動する。あなたが。。。,,,,,11.0,305.0,357.76
XbotPark,LVCC West,62919,XbotParkは、ロボティクスとスマートハードウェアのスタートアップのためのグローバルなインキュベーターです。DJI、NARWAL、EcoFlowといったユニコーンを含む260+企業と共に、設計から量産まで全面的なサポートを提供しています。F...,,,,,11.0,385.42,219.83
Xbrewlab Technologies Inc.,LVCC West,62919,XBREWは、DJI/Brevilleでの経験を持つエンジニアやコーヒー愛好家によって作られたコーヒーとテクノロジーの革新者です。主力製品はEverNitroで、3-in-1ニトロマシンで、95%純度の空気抽出ニットを供給します...,,,,,11.0,385.42,219.83
YellowScan,LVCC West,60401,YellowScanでは、性能、堅牢性、精度を求めるプロフェッショナルの期待を超えるUAV LiDARソリューションを設計、開発、構築しています。我々のハードウェアとソフトウェアの完全な...,,,,,11.0,305.05,384.29
Yeungnam University,LVCC West,61704,揚南大学の自律走行車部品・材料イノベーションRLRCは、革新的な...,,,,,11.0,353.4,317.98
Youtek Inc,LVCC West,62234,Youtekは米国と中国全域でAIハードウェア製品を開発・製造するチームです。私たちの使命は、より多くの消費者がAIによってもたらされる効率性とウェルビーイングを体験できるようにすることです。...,,,,,11.0,251.73,282.61
Yplasma Actuators Technologies inc,LVCC West,60845,YPlasmaは、電子機器、データセンター、半導体デバイス向けに静かでコンパクトかつエネルギー効率の高い熱管理を提供する先進的なプラズマ冷却システムを開発しています。我々の任務は...,,,,,11.0,229.63,362.18
ZERO CARBON EMISSION,LVCC West,60711,ゼロカーボンエミッション(ZCE)は、グリッドと太陽光発電を組み合わせたスマートで安全かつハイブリッドな充電ソリューションを開発しています。フランスのグルノーブルに拠点を置き、電動モビリティをよりシンプルで安全にすることを目指しています。,,,,,11.0,369.65,344.52
Zander Labs,LVCC West,62100,Zander Labsは、受動的なBCIと神経適応技術の最前線に立つドイツ・オランダのディープテック企業です。AIシステムが...,,,,,11.0,346.94,271.58
Zentech Electrical Electronics Ltd. Co.,LVCC West,63432,HamurAIはベーキングの技術をデジタル化します。当社のAI駆動システムは、コンピュータビジョンを使って生地のこねを自動化し、食感を分析し、レシピをリアルタイムで調整します。私たちはベーカリーが標準化されたクオリを実現するのを支援しています...,,,,,11.0,240.13,184.48
"Zepsor Technologies, Inc.",LVCC West,62037,Zepsoは、モノのインターネット、ロボティクス、エッジAI、セキュリティアプリケーション向けのイベント駆動型センシングソリューションを商業化するテックスタートアップです。ゼプサーの独自のゼロパワーセンサー技術が...,,,,,11.0,247.31,290.57
"Zero Energy Solution Co., Ltd.",LVCC West,62901,ゼロエネルギーソリューション(ZES)は、高純度VO2の低コスト大量生産プロセスを初めて商業化したスマート素材であり、エネルギー効率を実現しています。ZESは拡張可能で持続可能なソリューションを提供します...,,,,,11.0,345.64,219.83
Zeta Mobility,LVCC West,62817,Zeta Mobilityは、激しい雨、雪、霧などの悪天候下でもLiDARレベルの物体認識を実現するAI搭載の4Dレーダーソリューションを提供します。我々の技術は...,,,,,11.0,272.28,206.6
Zunzunbee,LVCC West,61461,ZUNZUNBEEは、ZigbeeやMatterエコシステム向けに直感的で後付けに適した技術でスマートホームにシンプルさをもたらします。私たちのSnapable™プラットフォームは、壁に自然なコントロールを取り戻します。まずはSl...,,,,,11.0,194.26,322.4
aIthena AI.Inc,LVCC West,62201,AIthenaは、決定的なオフラインエッジ生成AIプラットフォームであり、プライベートLLMのワンクリック展開を可能にします。クラウド依存なしに「シャドウAI」を即座に解決し、データの主権を確保します。,,,,,11.0,313.4,238.43
aiOla,Venetian Expo,61313,aiOlaは、現場の音声を構造化され検証済みのデータに変換し、直接エンタープライズシステムに注入します。私たちの音声エージェントワークフローは、製造、AVなどの、遅くて高コストな手動データ入力に代わります。,フロントライン向け音声→システム入力AI。製造現場DXに直接関連。面白いツール。★に格上げ,,,★★,11.0,371.08,335.66
airaTrack,LVCC West,62201,AIRAはAIアルゴリズム、画像解析、システム統合を専門としています。Intel、Network Optix、NVIDIA、AWSと深い技術的協力関係を築いています。過去4年間で、私たちは...,,,,,11.0,313.4,238.43
augmented_communications,LVCC West,61040,拡張通信は、AI技術を活用したコンピュータシステムおよびソフトウェアの研究開発を専門としています。IT戦略の設計やデジタルトランスフォーメーションの推進に加え...,よくわからず入れた。コンサル的な会社なら外してもいい,,,,11.0,238.47,357.76
"ecopem Co.,Ltd",LVCC West,62833,Ecopemは水素用途向けのポリマー電解質膜(PEM)技術を専門としています。私たちは先進的なPEM材料の開発・大量生産、コンパクトなH₂/O₂生成スタック、そして性能...,,,,,11.0,241.29,206.6
eeva Solutions Inc.,LVCC West,60461,eevaは、ホームライフ管理を一つのプラットフォームに集約し、日常生活をよりスムーズに進めるためのオールインワンライフオペレーティングシステムです。AIや機械工学のような先進技術を活用して...,,,,,11.0,194.26,388.71
exbody company Ltd.,LVCC West,62738,"10年以上にわたり、exbody Co., Ltd.はデータベースの「パーソナライズド運動療法およびフィットネスインタラクションソリューション」の分野で先駆者として活躍してきました。韓国では、強力な市場プレゼンスを確立しました...",,,,,11.0,429.99,237.53
iBoda,LVCC West,61445,iBodaは、学生のアート学習データを活用したパーソナライズされた美術教育を提供するオンラインプラットフォームです。主な製品には、学習傾向を分析する美術適性検査や美術批評などがあります。,,,,,11.0,222.8,304.73
iCombo Tech Company Limited,LVCC West,63200,私たちは補聴器市場の新興スタートアップ企業で、最新のクラスHドライバー技術を導入し、スマート充電ドックを開発しています。私たちは、クリアするための高性能補聴器製品を開発しています...,,,,,11.0,302.69,186.7
"iPolish, Inc",LVCC West,60664,iPolish®は、プレスオンネイルをスマートフォンで操作できるスマートな色変化の表面に変える美容技術スタートアップです。300+の埋め込みシェードを瞬時に切り替えて、混乱やダウンタイムがありません。我々の特許取得したプラ...,,,,,11.0,185.42,384.29
iPowerUp,LVCC West,60255,iPowerUpは高品質で革新的なソーラー充電モバイルケースやマイクロデバイスを製造しており、日常の課題(バッテリー切れやバッテリー切れ)を解決し、スマートデバイスのユーザー体験を向上させます...,,,,,11.0,207.52,401.97
itphy Inc.,LVCC West,63300,ITPHYは筋骨格系疾患の予防と回復のための革新的なデジタルヘルスケアソリューションを提供しています。私たちの旗艦アプリであるRingDocは、患者と医療提供者をポスチュー...,,,,,11.0,348.82,180.06
"mHome AI, Inc",LVCC West,61664,,,,,,11.0,185.42,317.98
mLAB,LVCC West,62201,ミリラボは、自動車電子機器分野に適用可能な包括的なミリ波(mmWave)レーダーソリューションを提供しています。私たちはスマートコックピットアプリケーションを専門としており、乗員の監視に注力しています...,,,,,11.0,313.4,238.43
mimo.fit,LVCC West,61265,ミモフィットは神経疾患を持つ人々に最適な運動を提供します。インタラクティブポッドを通じて提供されるAI駆動のパーソナライズされたトレーニングを用いて、効果的な自宅治療を徹底的に実現しています...,,,,,11.0,185.42,335.66
moftBODY Limited,LVCC West,63200,"moftBODYのウービーラップは、スマートテキスタイル工学とマイクロカレント技術を融合させ、日々の代謝サポートとウエストシェイプの向上を実現します。忙しいライフスタイルにぴったりのシームレスなデジタルヘルスウェアラブルです,...",,,,,11.0,302.69,186.7
senswave,LVCC West,62659,私たちはワイヤレス、防衛、センサーアンテナシステムの技術的制約を克服し、次世代6Gモバイルデバイス向けの革新的なソリューションを提供しています。んん...,,,,,11.0,195.22,238.41
wahroto,LVCC West,62201,オトワーは、オーディオファイルや半導体の専門家によって設立されたテクノロジー主導のオーディオ会社です。私たちは、精密工学と材料技術を組み合わせた超小型MEMSスピーカーソリューションを専門としています。,,,,,11.0,313.4,238.43
whereable.ai,LVCC West,61453,whereable.ai は、特殊目的モビリティ(SPM)向けの物理的なAIベースの自動運転ソリューションを提供しています。仁川国際空港に自動運転車10台を納入し、現在開発中です...,,,,,11.0,205.12,304.73
AI-Tails,LVCC West,61220,AI-Tailsは、猫の健康状態をリアルタイムで追跡するAI駆動の給餌・水分補給ステーションを提供します。摂取データ、温度感知、顔面・痛みの分析を用いて、早期の病気や...,,,,,11.0,270.31,331.24
AImoji,LVCC West,62801,高度な生成AIを用いて、シンプルなテキストを動的でパーソナライズされた絵文字やアバターに変換します。私たちはデジタルヘルスの次のユニバーサルランゲージを構築しています。,,,,,11.0,302.4,213.22
ALGOS,LVCC West,60601,Algosは戦略的イノベーションと技術実行の交差点に位置し、AIソフトウェア企業と戦略的AIコンサルティング会社としての二重の専門知識を提供しています。これが...,,,,,11.0,305.05,371.03
ARCH Technology,LVCC West,63432,このML搭載のウェアラブル技術は、リアルタイムで重要なデータを分析するために設計されており、活動不足による循環問題を防ぐための能動的な循環サポートを提供します。,,,,,11.0,240.13,184.48
AVACAM - ALAB SRL,LVCC West,61601,Avacamは、画像を解析して地盤の動きや地滑りの可能性を検知するスマートリモートモニタリングサービスを提供しています。AIによって動かされ、即時のアラートを届け、人々やコミュニティが...,,,,,11.0,305.0,304.72
"AVITA, Inc",LVCC West,62801,,,,,,11.0,302.4,213.22
Adjusted Coaching d.o.o.,LVCC West,60658,,,,,,11.0,198.68,384.29
Aitronics Inc.,LVCC West,62201,Aitronicsは、血糖値モニタリングなどの非侵襲的診断のためのAIと光学技術を進化させ、より安全で効率的な医療ソリューションの提供を目指しています。,,,,,11.0,313.4,238.43
Almadina,LVCC West,61866,Almadinaは、企業や政府機関向けにカスタマイズされたAIチャットボットを専門とするソフトウェア会社です。私たちのソリューションはAIアバターを活用し、ウェブサイト訪問者をリアルタイムで支援します—質問に答えます...,,,,,11.0,181.0,304.72
AniMed Technology Limited,LVCC West,63200,AniMed Technology Limitedは、エッジインテリジェンスと光ファイバーセンシング技術に特化したハイテクスタートアップで、次世代のバイタルサインモニタリングシステムの開発に専念しています。統合...,,,,,11.0,302.69,186.7
Arpobot,LVCC West,62238,「BLOOMIN8をご紹介します。世界初のスマートカラーE-Inkフレームです。それは印刷されたアートのように見え、長年完全にケーブルフリーで動作し、機能豊富なアプリやローカルスマートホームのコントロールを通じて接続できます。戻る。。。,,,,,11.0,242.89,282.61
Artificial Intelligence and Robotics Institute,LVCC West,62643,人工知能・ロボティクス研究所は、先進AIとロボティクス分野のコアおよび応用技術を開発し、国家の課題や社会問題を解決し、生活をより複雑にします...,,,,,11.0,221.83,238.41
Atitan Inc.,LVCC West,60265,私たちは消費者やプロフェッショナルのニーズに応え、独自の技術機器とユーザーが交流できるソフトウェア間の接続を簡素化する高度なハードウェアを提供しています...,,,,,11.0,185.42,401.97
Attic Inc.,LVCC West,62833,Atticはエネルギーと環境分野を専門とするデータサイエンス企業です。モデルの精度、運用効率、戦略的意思決定を向上させるカスタマイズされたAIソリューションを提供しています。...,,,,,11.0,241.29,206.6
Audioboost srl,LVCC West,62000,AudioboostはAI音声技術を通じてデジタル出版を再定義するAIオーディオマーケティング企業です。プラットフォームSpeakup-Articleを使い、あらゆるウェブコンテンツを動的でAI駆動の...,,,,,11.0,310.14,282.62
Aura Bilisim,LVCC West,63432,Aura BilisimのLophiusは、PLC統合イベントタグ付けを備えたモバイル型のプラグアンドプレイスローモーションビジョンおよびエッジ分析システムで、高速生産ラインが隠れた故障やマイクロを捉えるのを支援します-...,,,,,11.0,240.13,184.48
BCE-OS,LVCC West,60711,私たちは、建物は単に機能するだけでなく、理解し、学び、進化すべきだと考えています。だからこそ、私たちはBCE-OSというインテリジェントIoTミドルウェアを作り、生データを統一されたアクションに変換する...,,,,,11.0,369.65,344.52
BEAR&SKUNK,LVCC West,63701,,,,,,11.0,345.06,166.78
BLADECO YATIRIM,LVCC West,63432,Bladecoは革新的なエネルギー技術で持続可能な変革を推進しています。急速充電器や太陽光パネルからAIやソフトウェアソリューションまで、効率を高め、エネルギーを形作るシステムを設計しています。,,,,,11.0,240.13,184.48
Baracoda Daily Healthtech,LVCC West,60801,Baracoda Daily HealthtechはIoTの専門知識を活かし、人々が日々の健康をコントロールできるよう革新的なスマート製品を開発しています。バラコダは新しいAI誘導ブラッシング技術「Kolibree」を発売します...,,,,,11.0,305.0,362.18
Beep Finance Srl,LVCC West,61000,,,,,,11.0,305.0,357.76
Benilight,LVCC West,62501,ベニライトは赤色LEDおよび近赤外線(NIR)LEDを用いたLED医療機器およびヘルスケア製品を開発してきました。当社はLEDライトがスキーに与える影響について広範な研究を行っています...,,,,,11.0,347.95,238.42
BigFlex International,LVCC West,63600,"5,000人の患者から10年間のビッグデータを用いて学習したディープラーニング予測モデルを用いて、個々の患者に合わせた皮膚乾癬、糖尿病、認知症の診断アルゴリズムを開発しました...",,,,,11.0,300.98,170.56
Bionics Research Center,LVCC West,62643,FluxiHealは、KISTのバイオニクス研究センターによって開発されたスマート治療パッチです。マイクロ流体、ハイドロゲル、イオントフォレシスを組み合わせて創傷滲出液を管理し、再生薬を投与します...,,,,,11.0,221.83,238.41
BlueCapsule Inc.,LVCC West,63416,Blue Capsuleは、没入型の仮想空間を構築するAV、VR、メタバースソフトウェアを設計しています。この技術を基に、同社はテキストを完全なメディアコンテンツに変換するAIシステム「AIVS」を開発しました。その。。。,,,,,11.0,273.58,166.82
